Hour,DryBulb,ACCFactor,ACCPower,PumpPower,RadiatorPower,IndoorEquipmentPower,ITLoss,MEPLoss,FacilityPower,HourlyPUE
7540,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7541,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7542,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7543,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7544,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7545,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7546,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7547,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7548,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7549,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7550,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7551,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7552,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7553,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7554,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7555,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7556,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7557,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7558,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7559,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7560,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7561,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7562,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7563,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7564,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7565,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7566,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7567,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7568,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7569,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7570,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7571,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7572,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7573,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7574,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
